length,Wbar,SD_Wbar
120,22,0
150,47.5,3.415650255319866
160,52,6
170,75.2,2.280350850198276
180,88.5,6.3796551630946325
190,107.26666666666667,13.619663655730934
200,123.63636363636364,17.060320789907365
210,141.9090909090909,11.70003884997435
220,169.95833333333334,12.145778177466928
230,190.9375,19.097883826923514
240,224.3913043478261,14.56876837133831
250,246.3,20.02954713968066
260,283.2,22.733494335580755
270,319.1666666666667,26.340061704079446
280,363.11764705882354,29.7318976816221
290,398.0181818181818,29.431962286609505
300,447.5,42.41369553136641
310,480.0153846153846,39.51640968781684
320,542.0588235294117,39.067814344381475
330,606.340206185567,52.09604243564999
340,665.3763440860215,59.57912422158245
350,728.8592592592593,57.248237014236985
360,802.2746478873239,62.97597699879813
370,869.5535714285714,66.66286246987525
380,940.75,75.5347366811961
390,1032.5542635658915,85.78862223795579
400,1110.111111111111,85.03367737116203
410,1196.8609467455622,102.30573926394047
420,1292.5179856115108,103.26659993103821
430,1367.6166666666666,112.6191470188731
440,1471.1173708920187,118.16182454538799
450,1576.0356347438753,133.36509561099777
460,1674.4632352941176,138.45079531609593
470,1785.1597633136096,147.04279209995013
480,1915.5193548387097,169.15894541855124
490,2020.8165137614678,192.67795844553532
500,2145.0067567567567,188.8908728837833
510,2273.034090909091,230.13771233881545
520,2396.816326530612,259.21706424261083
530,2548.64,181.07707382953444
540,2571.5,124.2888341151943
