"","obs","pred"
"1",388,656.378
"2",162,398.732
"3",224,461.674
"4",597,764.419
"5",845,907.262
"6",853,894.776
"7",1017,975.322
"8",510,652.323
"9",34,157.831
"10",17,115.188
"11",19,129.322
"12",1067,1017.42
"13",1707,1344.9
"14",1612,1166.01
"15",2187.16,1349.91
"16",3531.91,3258.65
"17",3181.94,2973.97
"18",2979.62,2817.95
"19",2881.88,2755.83
"20",2290.33,2261.23
"21",2466.62,2443.31
"22",3109.15,3065.67
"23",4658.44,4547.47
"24",3728.36,3668.09
"25",3006.01,2967
"26",3320.8,3272.17
"27",3055.77,3027.74
"28",2688.43,2683.19
"29",2236.41,2267.07
"30",2452.87,2484.08
"31",3384.59,3407.32
"32",3644.08,3663.68
"33",3074.69,3101.26
"34",3141.98,3161.55
"35",2540.36,2567.75
"36",4010.49,3976.9
"37",3158.25,3154.78
