"age","fish","srv1","maturity"
4,0.000636402,0.0371894,0.0150779
5,0.00207073,0.0673142,0.0287548
6,0.00671607,0.11883,0.0541556
7,0.0215573,0.201262,0.0996914
8,0.0669831,0.320105,0.176375
9,0.189584,0.468005,0.292858
10,0.43255,0.62175,0.444731
11,0.712962,0.754382,0.607681
12,0.890033,0.851606,0.749723
13,0.963468,0.914698,0.852795
14,0.988497,0.952463,0.918058
15,0.996442,0.973984,0.955884
16,0.998905,0.985906,0.976692
17,0.999664,0.992408,0.987811
18,0.999897,0.995922,0.99366
19,0.999968,0.997814,0.996712
20,0.99999,0.998829,0.998297
21,0.999997,0.999373,0.999119
22,0.999999,0.999665,0.999544
23,1,0.999821,0.999764
24,1,0.999904,0.999878
25,1,0.999949,0.999937
26,1,0.999973,0.999967
27,1,0.999986,0.999983
28,1,0.999992,0.999991
29,1,0.999996,0.999995
30,1,0.999998,0.999998
31,1,0.999999,0.999999
32,1,1,0.999999
33,1,1,1
