year,maxf,authf,half_maxf,avg5f,nof,overf,appoverf
2022,45051,45051,45051,45051,45051,45051,45051
2023,44232.6,44495.3,44556.600000000006,44664.200000000004,44883,44084.8,44232.6
2024,40869.100000000006,42581.4,42973.4,43692.799999999996,45189.700000000004,39939.4,40869.100000000006
2025,37467.9,40209.6,41086.3,42360,45069.7,35920.200000000004,37341.799999999996
2026,34217.1,36639.299999999996,39075.4,40835.5,44663.8,32205,33435.5
2027,31311.2,33431.8,37145.899999999994,39320.700000000004,44156.3,28971,30026.3
2028,28932.600000000002,30776.6,35504.8,38024,43749.4,26382.6,27278.1
2029,27199.100000000002,28793.5,34308.5,37109.299999999996,43613.3,24566.7,25300.8
2030,26122.9,27485.3,33615.6,36650.6,43846.8,23571.6,24139.7
2031,25600.8,26727.699999999997,33350.299999999996,36589.799999999996,44423.4,23157.6,23597
2032,25433,26355,33374.8,36802.700000000004,45243.7,23080.2,23419.399999999998
2033,25456.3,26207.899999999998,33567.799999999996,37174.9,46207.6,23168.199999999997,23429.2
2034,25570.1,26181.3,33844.5,37623.8,47235.3,23323.1,23523
2035,25723.5,26219.899999999998,34159.3,38103.1,48279.4,23499,23651.6
