"Year","frate_mean","frate_lci","frate_uci","rec_mean","rec_lci","rec_uci","tot_mean","tot_lci","tot_uci","sp_mean","sp_lci","sp_uci"
1977,0.0318901556000875,0.0142405657712371,0.0623787770879354,1792.89775565646,401.539639615088,4192.34632237903,31424.9791333333,25772.445,38419.0575,13022.32524,10421.265,16040.155
1978,0.0195109031176804,0.00816156876051882,0.0401302825791653,1871.71824259868,379.618858756249,4498.53809370752,30570.9129333333,25034.76,37164.4325,12466.25486,9912.06825,15431.0075
1979,0.0238352264841449,0.0104737079844724,0.0479194956979507,2496.63143591597,486.169836726309,6038.60471890762,30274.0076666667,24779.51,36742.2775,12132.4019466667,9633.20725,14990.645
1980,0.0424899517239401,0.018181626686156,0.0839970014340707,5012.46933685309,934.132147884047,10364.4179021748,30566.6000666667,25192.1275,37147.74,11822.8399733333,9411.888,14620.155
1981,0.053102420187085,0.0225244359596444,0.109452593182134,6537.18889295758,1070.40744900639,14251.7811623424,31228.5890666667,25708.68,37822.96,11397.6887533333,9123.5215,14044.1025
1982,0.0539812108712657,0.0223956748621525,0.110061576482039,6276.03879688351,1210.84123149293,13432.8437661601,32267.0588666667,26689.19,38636.135,10972.3723133333,8620.36525,13559.8875
1983,0.0626071946931831,0.0263907683766559,0.138827562605678,4068.50712142644,677.943673921592,9434.50617172469,33403.3884666667,27689.66,39917.72,10674.1817333333,8356.985,13213.44
1984,0.0417201895663634,0.0186979919965117,0.0857472499702634,4864.80173135278,1177.54469953238,9589.52686441898,34751.0481333333,29031.8725,41317.9225,10478.0837266667,8238.80925,13053.4375
1985,0.00932768959579983,0.00423391612406782,0.0185202956144773,3404.89345888562,612.092915173671,7095.7456660987,36402.4546,30818.0775,42842.465,10701.3909333333,8428.52225,13200.705
1986,0.00618965787930876,0.00271854664922958,0.0118315094994476,3080.69696022804,687.839881613079,6361.52900190103,38528.3234666667,32677.665,44942.3625,11467.87762,9144.28625,13992.615
1987,0.00632810918632218,0.00277503984104406,0.0120650437465,2328.61757745665,504.640894588594,5427.69145884189,40358.2314666667,34280.47,46870.09,12495.33488,10062.82,15178.575
1988,0.0448026655909238,0.0213383923012391,0.0871024562196375,9157.85199612031,5461.62439336172,13440.4644600063,43281.3819333333,37039.0475,49904.635,13677.5334466667,11148.2625,16504.5575
1989,0.055544813792872,0.0255315882752344,0.107144985960957,5583.20675054583,2086.24837244736,9879.97231111496,44925.5813333333,38791.34,51647.365,14433.4558,11959.745,17293.0975
1990,0.0440539433390132,0.0211607076461765,0.0765903441388829,18158.0991555019,13116.1428422486,23538.5810631503,48923.4617333333,42639.9175,55838.94,14972.1276666667,12524.11,17801.9775
1991,0.0494993130236609,0.0244557522267317,0.0932563874963416,12458.3913423636,7671.68674265264,17904.1853515876,53613.5507333333,47079.2625,60856.8975,15566.5010666667,13103.865,18300.22
