"Year","frate_mean","frate_lci","frate_uci","rec_mean","rec_lci","rec_uci","tot_mean","tot_lci","tot_uci","sp_mean","sp_lci","sp_uci"
1992,0.11100694007289,0.0867238941930513,0.139079047456216,11031.7489946591,7060.66017297187,15372.5276393434,58634.7390666667,51731.485,66541.4025,16083.292,13620.5925,18747.815
1993,0.104299465658823,0.0817438941067429,0.131872319044159,2810.84881544044,666.599842018955,5743.13106633952,60615.0124,53341.75,69143.93,15932.2262,13419.565,18675.9325
1994,0.0973477878177793,0.0748172976420583,0.122288740649681,7965.88324909134,5041.1945834855,11297.5272856373,63326.3395333333,55574.5075,72765.28,16286.4828,13689.08,19248.4875
1995,0.0882769259244054,0.0673482537923938,0.113941658153945,5501.81414788414,2649.55844943445,8857.84012673068,65528.7504,57303.1625,75398.63,17226.5368666667,14455.1875,20401.555
1996,0.0639241893423708,0.0495462552982771,0.0819077845250032,17193.7441526575,12869.5562688822,21752.9782125624,69748.4602666667,61147.75,80366.225,18712.7956666667,15646.34,22224.225
1997,0.0601306452986574,0.0452761085724062,0.0773306617852619,2969.19015428603,921.518845556382,5808.33196855291,72431.1616666667,63323.28,83354.5575,20700.3409333333,17326.4425,24487.0375
1998,0.0687785519205193,0.0521670875834393,0.0887066841848511,9244.97668298254,6036.83941819747,13003.2271237023,75437.1452,65780.595,87433.765,22599.1035333333,18914.555,26773.76
1999,0.0981862895038027,0.0751391767436883,0.125235117636342,19371.1402514362,14744.6634679786,24510.6236049897,79801.5157333333,69547.95,92446.1025,23979.3342,20141.495,28468.7375
2000,0.0789326696099702,0.0611154158831694,0.100514452735886,2520.35383737742,572.123904194434,5336.17281756433,80335.3777333333,69701.12,93492.725,24406.5875333333,20540.1275,29033.37
2001,0.0619275062107002,0.0473969735891058,0.0791566244983304,12244.7281593179,8743.46731390987,16126.9526582398,82947.1080666667,71484.5925,96569.195,25101.5922666667,21079.14,29996.995
2002,0.0654205256131044,0.0501846914867146,0.0834700380814892,15025.2081545425,10643.726067078,20089.3937454538,87101.8426,74845.9075,101848.275,26183.3144,21987.45,31279.88
2003,0.0576643914889947,0.0439566375841488,0.0744790229731558,6749.01204821279,3410.5807397095,10673.5689162206,89777.2490666667,76701.4425,105598.8,27240.8045333333,22780,32608.2725
2004,0.0490718711854787,0.0368403663644949,0.0630588892445435,9898.25190349219,6173.84541885188,14279.7994543856,92882.9894,79172.01,109543.525,28524.8564666667,23769.195,34237.98
2005,0.0390666826019671,0.0293589693519054,0.0504951023289799,9365.11037834873,5796.94387279826,13591.7377641357,96029.3433333333,81836.445,113670.8,30058.5917333333,24950.93,36189.375
2006,0.0405166526922185,0.0304739549656245,0.0519902378662664,4313.29257298358,1723.61444075832,7459.38532179474,98286.0511333333,83722.24,116122.85,31824.6896,26469.55,38314.8625
2007,0.0525908645826488,0.0399357828324935,0.067088506207395,4820.80056708662,2244.17152668448,7781.54614315238,99546.6798,84597.005,117920.725,33453.9084666667,27869.225,40314.495
2008,0.0549969816485736,0.0413573701767369,0.0716166937436951,5217.46546060019,2622.48951067235,8314.25979687958,99222.1426,83847.815,118155.925,34577.5885333333,28827.285,41670.6925
2009,0.0446521659601274,0.0338220332740611,0.0576341129670981,6377.20109398818,3543.70423985713,9754.52690267874,98249.6366,82719.68,117555.225,35380.848,29359.62,42940.6925
2010,0.0444862467338273,0.0335094678100343,0.0580491160185743,7275.47336997051,3806.35155810542,11165.7308564972,97727.6135333333,81715.5825,117645.175,36159.3666,29795.2925,43922.3675
2011,0.0356281857090646,0.0264642164175724,0.0463061209661155,12156.7948982857,7692.59433302669,17607.2729508671,98024.4711333333,81412.7325,118377.575,36554.2049333333,29931.5025,44565.5225
2012,0.0554742452101136,0.0414968887779428,0.0720491034725034,9986.10063670486,5704.47854431328,15164.3282609831,98996.7722,81704.625,120003.275,36849.4998666667,30116.185,45067.005
2013,0.0455979688591647,0.0341850948282512,0.0592491321306917,7840.84536919117,3917.53926588215,12462.2011327037,98419.2628666667,80660.37,119875.225,36178.8930666667,29353.81,44374.8725
2014,0.0453592302563984,0.0337119232848774,0.0595880004713716,18173.3982220652,11961.0370814263,25827.3696241565,100826.079,82274.97,123362.975,35731.0866666667,28895.57,44096.05
2015,0.0416378002813241,0.0305446580862262,0.0533892814400223,4608.69162693819,1261.29534486784,9630.4117428295,101736.7486,82550.415,124998.1,35368.8942666667,28374.9725,43894.66
2016,0.0497653407595026,0.0365345397980038,0.0668735446146008,7671.32437418272,3111.69216203648,13479.580356393,103120.194066667,83339.6025,126962.275,35369.0035333333,28255.195,44056.0075
2017,0.0392968468736522,0.0288587972359903,0.0517978009567381,6628.04131579956,2064.35723204367,13139.2006476567,103551.702666667,83291.6375,128704.525,35438.4484666667,28035.6175,44324.2775
2018,0.0421714521068999,0.0309095050517285,0.0562795330367223,6290.27872244834,1805.91569321355,12974.7716570877,104226.094533333,83536.3975,129709.95,36114.0734,28368.345,45215.505
2019,0.0356044211589552,0.0259665913587285,0.0472945741172279,2361.46595315754,419.062147964012,6280.19640158362,103413.038666667,82643.6575,129036.15,36855.3452666667,28734.71,46330.5525
2020,0.0305340871733562,0.0221492207323634,0.0410693043050559,2461.94314297303,454.977205432209,6653.2903038839,102165.023133333,80881.6375,127850.5,37797.8138666667,29400.98,47705.005
2021,0.039535789085636,0.0282476551389744,0.0536284078734105,2351.77858657385,412.502122383249,7361.45375245785,100408.423866667,78797.385,126335.575,38701.6834666667,29956.505,48895.1475
2022,0.0346375823554884,0.0249688388350461,0.04770811643105,2902.34001524966,355.413748739462,9709.5106366552,97358.3063333333,75996.5575,123596.45,38919.4231333333,29945.1175,49399.165
2023,0.0463157793965732,0.0329589311928871,0.0637239799668039,3174.39177575626,440.404384923161,11423.569079594,94279.9698666667,73185.5525,120247,38863.4064666667,29800.4225,49504.445
2024,0.0300201073745203,0.0215826306842068,0.0405514887112123,3799.55302714572,428.719719406321,14870.7102655149,89197.0846666667,67337.51,114901.175,37960.1099333333,28865.765,48871.4875
2025,NA,NA,NA,7893.84711,1246.8265,26879.235,NA,NA,NA,36500.3810666667,27490.0075,47150.175
2026,NA,NA,NA,7696.89018333333,1222.97875,27780.5975,NA,NA,NA,34716.1684,26148.3,44656.3025
