"year","recruits","rec_lci","rec_uci","tot_biom","tot_lci","tot_uci","sp_biom","sp_lci","sp_uci"
1977,1719,50.0241982105209,2984.83456717331,30718,17084.8375,30434.8425,12797,6284.095,12509.4925
1978,1821,48.1564124295802,3027.05616287103,29881,17023.145,29945.435,12250,6118.08175,12005.06
1979,2326,53.2894315950207,4105.08829172288,29544,17279.57,29899.2325,11908,6143.44325,11701.5775
1980,5221,223.666557030366,8607.09858746554,29882,18279.855,30710.715,11598,6162.973,11468.32
1981,6055,96.2627289377228,10274.6091479981,30526,19782.08,31936.3975,11192,6057.51125,11254.4725
1982,6386,200.081290212991,10251.4125519399,31632,21919.45,33837.19,10790,6019.39325,11024.5625
1983,3798,71.6671571543165,6649.98436834284,32763,23826.7025,35648.47,10507,6102.185,10884.3725
1984,4856,273.747963019871,6894.43159792779,34164,26024.1525,37969.09,10338,6257.52725,10904.1075
1985,3304,97.8611895878264,5184.69876350521,35813,28210.875,40338.5225,10565,6711.85175,11369.635
1986,3094,171.020450769124,4541.0958421074,37899,30751.09,42933.3975,11305,7628.37525,12428.6825
1987,2270,55.1375583238553,3088.57096917131,39685,32766.8275,45185.005,12302,8814.35775,13755.45
1988,8978,2876.58342034954,9792.26709048452,42551,36101.34,48817.855,13455,10165.16,15360.32
1989,5841,717.766054212243,6275.42599294359,44291,38011.575,51096.975,14216,11180.5275,16450.35
1990,17846,6303.86067654022,16813.2161041853,48350,42419.5975,56213.985,14785,11989.095,17329.4675
1991,12478,3822.53172182,11800.4540880334,53093,47090.07,61823.8975,15393,12790.88,18182.005
1992,10773,3647.84664678891,10915.3459716091,58133,52076.8675,68083.3525,15934,13479.5325,18927.4775
1993,3022,117.582125555305,3252.01768454473,60118,53847.0925,70993.89,15768,13417.955,19010.5675
1994,7685,2604.58268476158,7988.9019032339,62768,56268.9825,74773.2,16105,13747.5825,19670.5875
1995,5743,1297.77756677999,5653.17223077384,64991,58299.1625,77821.9525,17027,14553.4925,21057.7975
1996,16754,6398.85776392126,15727.1815139999,69114,62074.7475,83441.59,18489,15907.79,23056.7675
1997,3156,198.143539461591,3405.99236322844,71800,64453.225,86944,20460,17716.905,25546.375
1998,9195,3052.24078107488,9016.01878574947,74786,67087.4825,91039.4,22348,19422.4025,27929.7175
1999,18978,7211.06827120475,17550.2581997617,79077,71037.87,97101.925,23728,20683.0925,29709.9975
2000,2695,76.6903532908189,3035.04882355864,79637,71101.735,98568.095,24164,21028.375,30519.1875
2001,11999,4296.41643366072,11855.9726190258,82210,73419.89,102680.15,24859,21594.49,31716.475
2002,14767,5297.39805541153,13720.7152190989,86293,76869.145,108275.925,25932,22501.61,33225.7625
2003,6898,1829.73157414465,7129.39942247122,88955,79021.3575,112281.025,26976,23374.42,34715.165
2004,9725,3092.55466339675,9696.09586597198,92000,81558.96,116627.975,28241,24433.195,36457.485
2005,9246,3013.206118651,9235.20454210379,95104,84185.085,120934.2,29756,25755.3975,38573.28
2006,4339,763.197590200477,4743.30317455921,97343,85980.9075,124191.775,31501,27313.2325,40820.735
2007,4744,1139.54066162005,5339.52398935615,98595,86927.7475,126452.875,33116,28709.4725,43035.585
2008,5182,1305.85507009247,5619.57952996565,98256,86343.5875,126732.925,34218,29673.94,44790.595
2009,6320,1790.40560341186,6606.01118384373,97300,85108.3675,126528.4,35016,30339.8025,46151.3625
2010,7264,2086.79328833396,7728.22919726185,96782,84479.3175,126514.1,35785,30932.15,47386.915
2011,11971,4052.49112664491,12108.9155161138,97051,84418.7925,128009.6,36173,31159.385,48039.34
2012,9814,3073.43634204873,10476.0745103558,97987,85165.045,129926.3,36466,31335.2725,48676.78
2013,7959,2050.08098959407,8595.66550053484,97432,84217.3175,130392.6,35799,30658.685,48199.5875
2014,17536,6377.95311340489,18410.8818142254,99738,86121.8475,134552.8,35359,30212.7725,48035.1875
2015,4838,263.520026885319,6143.27065275376,100666,86935.25,137237.8,35002,29874.5225,48096.2825
2016,7376,1884.21094201812,9707.0192089428,101961,87807.0325,139745.175,34985,29735.7725,48416.21
2017,6538,852.434745414703,8846.76456208294,102333,87814.73,142114.3,35036,29619.315,48961.3025
2018,6302,973.483841992808,9594.0689746592,102978,88207.545,144087.4,35692,30086.705,50184.5
2019,2189,46.7904951316022,3847.6540207382,102112,87011.0525,144088.125,36408,30562.18,51828.9125
2020,2405,57.3672837608752,4720.32377146579,100834,85585.2525,143105,37324,31300.705,53380.64
2021,2061,35.710666149606,4356.57342161422,99009,83544.4375,141394.075,38205,31987.225,55061.1075
2022,2394,33.0547953745769,6562.4992402684,95842,80267.58,138230.05,38412,32112.4875,55751.09
2023,2530,40.501757513911,8488.83368595908,92559,77129.03,134171.15,38339,31906.7,56073.505
2024,2838,45.1463050183663,21804.0177416557,88136,71313.41,130906.9,37407,30821.6675,55369.745
2025,7758,597.180325,33390.54,85862,NA,NA,35972,29509.5875,53656.68
2026,7758,593.440725,34576.505,83132,NA,NA,34425,27910.6475,51060.7875
