"Parameter","mean_mle","sd_mle","mean_mcmc","median_mcmc","sd_mcmc","lci_mcmc","uci_mcmc"
"log_mean_rec",1.0431,0.12895,0.605915538327556,0.61923,0.208214992933074,0.17798615,0.98009705
"sigr",0.89865,0.099121,1.54722927222222,1.5322,0.206785933053511,1.18840475,2.002901
"q_srv1",0.75665,0.085717,0.732791577333333,0.7274905,0.0908728581189379,0.570400875,0.923518825
"F40",0.090291,0.02567,0.108376248066667,0.100672,0.0386732812066143,0.0579668675,0.205955725
"ABC",6337.8,1945.3,8370.41669555556,7790.765,3048.17822883862,4203.047,16056.68
"SSB_proj",35972,5176.3,40184.4915555556,39581.35,6219.63810269211,29509.5875,53656.68
"tot_biom_proj",85862,11843,96348.3266666667,94486.55,16604.6459969651,70050.85,130793.325
