"","obs","pred"
"1",388,706.184
"2",162,424.381
"3",224,491.581
"4",597,821.754
"5",845,979.394
"6",853,963.357
"7",1017,1051.84
"8",510,690.157
"9",34,162.943
"10",17,118.038
"11",19,131.409
"12",1067,1043.7
"13",1707,1374.11
"14",1612,1131.3
"15",2187.16,1305.4
"16",3531.91,3240.83
"17",3181.94,2953.48
"18",2979.62,2803.96
"19",2881.88,2747.12
"20",2290.33,2255.57
"21",2466.62,2439.24
"22",3109.15,3062.51
"23",4658.44,4535.99
"24",3728.36,3662.77
"25",3006.01,2954.31
"26",3320.8,3261.01
"27",3055.77,3018.56
"28",2688.43,2678.09
"29",2236.41,2263.41
"30",2452.87,2481.73
"31",3384.59,3403.59
"32",3644.08,3663.61
"33",3074.69,3094.57
"34",3141.98,3155.91
"35",2540.36,2560.79
"36",4010.49,3962.32
"37",3158.25,3167.6
"38",3062.06,3068.2
"39",2779.84,2808.47
"40",3322.13,3328.98
"41",2621.1,2646.58
"42",2908.58,2919.93
"43",2489.23,2512.43
