"year","biomass","se","lci","uci","pred"
1984,18626,1599,15491.96,21760.04,16113.9
1987,55824,5513,45018.52,66629.48,19749.2
1990,12348,1377,9649.08,15046.92,20287
1993,40953,4844,31458.76,50447.24,23480.2
1996,47437,5681,36302.24,58571.76,30649.2
1999,30989,4085,22982.4,38995.6,37363.2
2001,46913,6326,34514.04,59311.96,38973.3
2003,60873,6834,47478.36,74267.64,42277.6
2005,113307,18232,77572.28,149041.72,46251.4
2007,56266,7782,41013.28,71518.72,50316.3
2009,42666,4820,33218.8,52113.2,51365.3
2011,41115,5189,30944.56,51285.44,50896.4
2013,63219,7172,49161.88,77276.12,49107.8
2015,48402,5042,38519.68,58284.32,48707.8
2017,46752,4809,37326.36,56177.64,50824.4
2019,82618,8700,65566,99670,54261.8
