"","obs","pred"
"1",388,752.374
"2",162,452.134
"3",224,525.041
"4",597,879.439
"5",845,1049.3
"6",852,1034.53
"7",1017,1132.28
"8",540,876.728
"9",34,187.097
"10",17,135.704
"11",19,153.891
"12",1067,1801.01
"13",1707,4060.8
"14",1612,1000.35
"15",2035,1093.83
"16",3443,3051.53
"17",3119,2838.35
"18",2913,2696.08
"19",2836,2666.79
"20",2275,2240.95
"21",2464,2439.99
"22",3107,3067.4
"23",4535,4365.52
"24",3699,3599.22
"25",2997,2936.67
"26",3301,3232.1
"27",3020,3003.16
"28",2557,2565.88
"29",2209,2246.35
"30",2437,2477.21
"31",3373,3422.14
"32",3620,3672.21
"33",3069,3091.95
"34",3132,3146.97
"35",2531,2534.54
"36",4010,3921.54
"37",3158,3163.21
"38",3062,3063.5
"39",2781,2799.43
"40",3327,3320.1
"41",2622,2620.84
"42",2913,2892.8
"43",2491,2517.77
"44",2298,2332.12
