"","obs","pred"
"1",388,763.997
"2",162,456.812
"3",224,530.534
"4",597,891.88
"5",845,1065.62
"6",852,1049.28
"7",1017,1149.01
"8",540,839.598
"9",34,186.377
"10",17,136.156
"11",19,154.244
"12",1067,1487.4
"13",1707,2089.76
"14",1612,1260.44
"15",2035,1394.99
"16",3443,3207.02
"17",3119,2924.23
"18",2913,2762.93
"19",2836,2719.11
"20",2275,2246.88
"21",2464,2441.17
"22",3107,3064.45
"23",4535,4403.33
"24",3699,3622.65
"25",2997,2936.1
"26",3301,3231.06
"27",3020,2974.84
"28",2557,2544.72
"29",2209,2232.98
"30",2437,2462.18
"31",3373,3375.54
"32",3620,3621.06
"33",3069,3057.86
"34",3132,3112.41
"35",2531,2523.96
"36",4010,3901.95
"37",3158,3132.2
"38",3062,3033.91
"39",2781,2785.99
"40",3327,3302.42
"41",2622,2627.42
"42",2913,2900.54
"43",2491,2509.7
"44",2298,2323.92
