"","obs","pred"
"1",388,783.843
"2",162,471.011
"3",224,547.147
"4",597,916.622
"5",845,1093.42
"6",852,1078.11
"7",1017,1179.83
"8",540,852.3
"9",34,195.034
"10",17,142.91
"11",19,163.438
"12",1067,1695.11
"13",1707,9147.86
"14",1612,1024.6
"15",2035,1127.8
"16",3443,3076.29
"17",3119,2853.14
"18",2913,2707.78
"19",2836,2675.92
"20",2275,2240.62
"21",2464,2438.92
"22",3107,3065.77
"23",4535,4358.64
"24",3699,3594.26
"25",2997,2927.71
"26",3301,3222
"27",3020,2989.92
"28",2557,2556.55
"29",2209,2237.36
"30",2437,2467.22
"31",3373,3393.31
"32",3620,3640.74
"33",3069,3096.11
"34",3132,3152.34
"35",2531,2522.42
"36",4010,3893.42
"37",3158,3140.82
"38",3062,3042.65
"39",2781,2791.32
"40",3327,3309.52
"41",2622,2625.8
"42",2913,2899.53
"43",2491,2519.18
"44",2298,2333.59
