"year","Tot_B"
1977,29620
1978,28814
1979,28486
1980,28832
1981,29484
1982,30622
1983,31783
1984,33256
1985,34975
1986,37139
1987,39002
1988,42073
1989,44070
1990,48598
1991,53890
1992,59542
1993,61984
1994,65116
1995,67761
1996,72419
1997,75479
1998,78874
1999,83719
2000,84640
2001,87679
2002,92289
2003,95398
2004,98913
2005,102489
2006,105108
2007,106690
2008,106623
2009,105917
2010,105647
2011,106266
2012,107569
2013,107371
2014,110307
2015,111678
2016,113456
2017,114268
2018,115333
2019,114681
2020,113503
2021,111634
2022,108298
2023,104739
2024,99947
