"age","fish","srv1","maturity"
4,0.000692959,0.0356479,0.0150779
5,0.00230568,0.0649278,0.0287548
6,0.00764298,0.11538,0.0541556
7,0.0250254,0.196785,0.0996914
8,0.0788014,0.315162,0.176375
9,0.221841,0.463644,0.292858
10,0.487204,0.618866,0.444731
11,0.759982,0.753089,0.607681
12,0.913438,0.851394,0.749723
13,0.972351,0.914978,0.852795
14,0.99154,0.952863,0.918058
15,0.997446,0.97434,0.955884
16,0.999232,0.986174,0.976692
17,0.99977,0.992592,0.987811
18,0.999931,0.996042,0.99366
19,0.999979,0.997889,0.996712
20,0.999994,0.998875,0.998297
21,0.999998,0.999401,0.999119
22,0.999999,0.999681,0.999544
23,1,0.99983,0.999764
24,1,0.99991,0.999878
25,1,0.999952,0.999937
26,1,0.999975,0.999967
27,1,0.999987,0.999983
28,1,0.999993,0.999991
29,1,0.999996,0.999995
30,1,0.999998,0.999998
31,1,0.999999,0.999999
32,1,1,0.999999
33,1,1,1
