"Parameter","Estimates","model_name"
"sigmaR",0.955714,"m22.3a_base"
"q",0.631737,"m22.3a_base"
"avg rec",2.82356423498648,"m22.3a_base"
"F40",0.09,"m22.3a_base"
"Total Biomass",97325,"m22.3a_base"
"SSB",41170,"m22.3a_base"
"B100",62394,"m22.3a_base"
"B40",24957.8,"m22.3a_base"
"ABC",7247,"m22.3a_base"
