Parameter,Estimates
# parameters,137
sigmaR,0.955714
q,0.631737
avg rec,2.823564235
F40,0.09
Total Biomass,97325
SSB,41170
B100,62394
B40,24957.8
ABC,7247
a50,10.04252827
