Likelihood,LL
Catch,26.4112
Trawl survey,32.1208
Fishery ages,48.3243
Survey ages,139.256
Fishery lengths,49.6822
Recruitment devs,33.4306
Maturity,65
Data LL,295.794
Total LL,429.82
