"year","survB_pred","survB_obs"
1990,20315.3,12987.3
1993,22796.2,35392.6
1996,28530.7,35191
1999,35561.9,33911.9
2001,37458.8,40392.8
2003,40965.2,48716.3
2005,45272.2,73180.2
2007,50076.1,50734.5
2009,52534.7,40090.7
2011,53658.5,41442
2013,53013.5,59986
2015,52651.6,59471.2
2017,53809.3,61716
2019,56354.4,87687.8
2021,58623.7,69870.1
2023,58111,58538.2
