"year","biomass","se","lci","uci","pred"
1990,12987.3,2212.68,8650.4472,17324.1528,20315.3
1993,35392.6,5653.26,24312.2104,46472.9896,22796.2
1996,35191,5986.63,23457.2052,46924.7948,28530.7
1999,33911.9,6270.22,21622.2688,46201.5312,35561.9
2001,40392.8,8355.9,24015.236,56770.364,37458.8
2003,48716.3,7989.34,33057.1936,64375.4064,40965.2
2005,73180.2,10893,51829.92,94530.48,45272.2
2007,50734.5,7990.42,35073.2768,66395.7232,50076.1
2009,40090.7,6540.58,27271.1632,52910.2368,52534.7
2011,41442,7642.71,26462.2884,56421.7116,53658.5
2013,59986,10729.9,38955.396,81016.604,53013.5
2015,59471.2,9680.97,40496.4988,78445.9012,52651.6
2017,61716,10741.1,40663.444,82768.556,53809.3
2019,87687.8,13575.9,61079.036,114296.564,56354.4
2021,69870.1,12121.1,46112.744,93627.456,58623.7
2023,58538.2,10557.8,37844.912,79231.488,58111
