"","obs","pred"
"1",388,683.255
"2",162,412.277
"3",224,481.376
"4",597,813.892
"5",845,978.95
"6",853,969.234
"7",1017,1065.09
"8",510,701.773
"9",34,166.452
"10",17,120.949
"11",19,134.321
"12",1067,1072.44
"13",1707,1400.12
"14",1612,1129.98
"15",2187.16,1296.85
"16",3531.91,3248.31
"17",3181.94,2958.77
"18",2979.62,2808.02
"19",2881.88,2750.62
"20",2290.33,2254.66
"21",2466.62,2437.66
"22",3109.15,3059.77
"23",4658.44,4531.51
"24",3728.36,3659.42
"25",3006.01,2951.62
"26",3320.8,3260.34
"27",3055.77,3017.63
"28",2688.43,2677.41
"29",2236.41,2261.09
"30",2452.87,2479.1
"31",3384.59,3397.99
"32",3644.08,3658.59
"33",3074.69,3082.73
"34",3141.98,3144.78
"35",2540.36,2549.34
"36",4010.49,3940.09
"37",3158.25,3148.1
"38",3062.06,3050.78
"39",2779.84,2789.27
"40",3322.13,3305.3
"41",2621.1,2631.61
"42",2908.58,2905.11
"43",2489.24,2512.85
"44",2198.19,2232.73
"45",2928.45,2954.92
"46",2586.02,2617.36
"47",3489.03,3489.65
"48",2176.15,2213.84
