"","obs","pred"
"1",388,722.484
"2",162,434.611
"3",224,507.576
"4",597,859.954
"5",845,1034.61
"6",853,1022.95
"7",1017,1123.1
"8",510,737.647
"9",34,174.555
"10",17,126.692
"11",19,140.495
"12",1067,1115.32
"13",1707,1449.97
"14",1612,1221.4
"15",2187.16,1403.43
"16",3531.91,3288.97
"17",3181.94,2994.56
"18",2979.62,2837.01
"19",2881.88,2774.24
"20",2290.33,2263.39
"21",2466.62,2445.26
"22",3109.15,3068.79
"23",4658.44,4526.14
"24",3728.36,3654.83
"25",3006.01,2940.63
"26",3320.8,3247.18
"27",3055.77,3000.72
"28",2688.43,2664.53
"29",2236.41,2260.43
"30",2452.87,2478.76
"31",3384.59,3388.88
"32",3644.08,3648.47
"33",3074.69,3075.95
"34",3141.98,3137.25
"35",2540.36,2543.51
"36",4010.49,3928.24
"37",3158.25,3137.15
"38",3062.06,3039.85
"39",2779.84,2777.38
"40",3322.13,3288.85
"41",2621.1,2617.97
"42",2908.58,2888.49
"43",2489.24,2508.33
"44",2198.19,2228.64
"45",2928.45,2950.61
"46",2586.02,2612.59
"47",3489.03,3480.22
"48",2176.15,2207.66
