"Parameter","Estimates"
"# parameters","136"
"sigmaR","0.898654"
"q","0.756649"
"avg rec","2.83771740961221"
"a50","10.0624050684"
"F40","0.09"
"Total Biomass","85862"
"SSB","35972"
"B100","59467"
"B40","23786.8"
"ABC","6338"
