"age","fish","srv1","maturity"
4,0.000717295,0.0363046,0.0150779
5,0.00236367,0.0659506,0.0287548
6,0.00775953,0.11687,0.0541556
7,0.0251626,0.198737,0.0996914
8,0.0785089,0.317345,0.176375
9,0.219488,0.465607,0.292858
10,0.481379,0.620205,0.444731
11,0.753917,0.753734,0.607681
12,0.910009,0.851553,0.749723
13,0.970911,0.914905,0.852795
14,0.991005,0.952721,0.918058
15,0.997257,0.974206,0.955884
16,0.999168,0.98607,0.976692
17,0.999748,0.992519,0.987811
18,0.999924,0.995995,0.99366
19,0.999977,0.997859,0.996712
20,0.999993,0.998857,0.998297
21,0.999998,0.99939,0.999119
22,0.999999,0.999675,0.999544
23,1,0.999826,0.999764
24,1,0.999908,0.999878
25,1,0.999951,0.999937
26,1,0.999974,0.999967
27,1,0.999986,0.999983
28,1,0.999993,0.999991
29,1,0.999996,0.999995
30,1,0.999998,0.999998
31,1,0.999999,0.999999
32,1,1,0.999999
33,1,1,1
