"","obs","pred"
"1",388,660.258
"2",162,401.25
"3",224,464.864
"4",597,770.932
"5",845,916.078
"6",853,903.838
"7",1017,985.917
"8",510,658.446
"9",34,158.795
"10",17,115.512
"11",19,129.079
"12",1067,1019.94
"13",1707,1346.2
"14",1612,1165.16
"15",2187.16,1350.87
"16",3531.91,3266.66
"17",3181.94,2977.98
"18",2979.62,2821.51
"19",2881.88,2759.15
"20",2290.33,2260.87
"21",2466.62,2443.52
"22",3109.15,3067.38
"23",4658.44,4549.39
"24",3728.36,3670.2
"25",3006.01,2965.92
"26",3320.8,3272.1
"27",3055.77,3027.25
"28",2688.43,2683.71
"29",2236.41,2266.68
"30",2452.87,2484.46
"31",3384.59,3405.15
"32",3644.08,3662.8
"33",3074.69,3095.47
"34",3141.98,3156.76
"35",2540.36,2562.42
"36",4010.49,3960.55
"37",3158.25,3159.87
"38",3062.06,3060.15
"39",2779.84,2791.33
"40",3322.13,3306.3
