"year","biomass","se","lci","uci","pred"
1990,13032,2262,8598.48,17465.52,19620.2
1993,36132,5914,24540.56,47723.44,23091.9
1996,36044,6269,23756.76,48331.24,29135.4
1999,34346,6475,21655,47037,35337.1
2001,42086,8875,24691,59481,37616.4
2003,49970,8413,33480.52,66459.48,41593.5
2005,75852,11492,53327.68,98376.32,46029.7
2007,52225,8373,35813.92,68636.08,50175.1
2009,42053,6991,28350.64,55755.36,51093.3
2011,43388,8143,27427.72,59348.28,49717.7
2013,62049,11280,39940.2,84157.8,45937.7
