"year","biomass","se","lci","uci","pred"
1990,13032,2262,8598.48,17465.52,19725.6
1993,36132,5914,24540.56,47723.44,23168.6
1996,36044,6269,23756.76,48331.24,29176.1
1999,34346,6475,21655,47037,35393
2001,42086,8875,24691,59481,37541
2003,49970,8413,33480.52,66459.48,41377.3
2005,75852,11492,53327.68,98376.32,45723.5
2007,52225,8373,35813.92,68636.08,49865.5
2009,42053,6991,28350.64,55755.36,50838.7
2011,43388,8143,27427.72,59348.28,49636.4
2013,62049,11280,39940.2,84157.8,46137.5
