"","obs","pred"
"1",388,659.116
"2",162,400.05
"3",224,463.298
"4",597,768.151
"5",845,912.399
"6",853,899.772
"7",1017,981.264
"8",510,654.824
"9",34,157.899
"10",17,115.051
"11",19,128.894
"12",1067,1016.73
"13",1707,1343.92
"14",1612,1162.02
"15",2187.16,1346.67
"16",3531.91,3259.83
"17",3181.94,2973.71
"18",2979.62,2818.33
"19",2881.88,2756.54
"20",2290.33,2260.71
"21",2466.62,2443.07
"22",3109.15,3066.22
"23",4658.44,4548.5
"24",3728.36,3669.26
"25",3006.01,2966.04
"26",3320.8,3271.6
"27",3055.77,3027.23
"28",2688.43,2683.33
"29",2236.41,2267.16
"30",2452.87,2484.65
"31",3384.59,3407.42
"32",3644.08,3664.5
"33",3074.69,3098.7
"34",3141.98,3159.2
"35",2540.36,2564.56
"36",4010.49,3966.75
"37",3158.25,3163.66
"38",3062.06,3062.94
"39",2779.84,2783.98
