"","obs","pred"
"1",388,707.774
"2",162,425.541
"3",224,493.045
"4",597,824.692
"5",845,983.426
"6",853,967.548
"7",1017,1056.73
"8",510,692.728
"9",34,163.145
"10",17,117.845
"11",19,130.729
"12",1067,1040.47
"13",1707,1367.99
"14",1612,1116.84
"15",2187.16,1288.1
"16",3531.91,3239.12
"17",3181.94,2949.92
"18",2979.62,2800.28
"19",2881.88,2743.87
"20",2290.33,2252.88
"21",2466.62,2437.27
"22",3109.15,3061.44
"23",4658.44,4535.96
"24",3728.36,3662.45
"25",3006.01,2951.61
"26",3320.8,3259.04
"27",3055.77,3016.61
"28",2688.43,2676.66
"29",2236.41,2261.69
"30",2452.87,2480.45
"31",3384.59,3400.97
"32",3644.08,3661.84
"33",3074.69,3090.7
"34",3141.98,3152.88
"35",2540.36,2557.06
"36",4010.49,3955.68
"37",3158.25,3162.53
"38",3062.06,3064.15
"39",2779.84,2804.29
"40",3322.13,3324.7
"41",2621.1,2645.05
"42",2908.58,2920.43
"43",2489.23,2524.62
"44",2198.19,2242.97
