year,biomass,se,lci,uci
1990,12063,1366,9386,14740
1993,42528,5368,32007,53049
1996,48393,6262,36119,60667
1999,32394,4366,23837,40951
2001,45513,6076,33604,57422
2003,59428,6678,46339,72517
2005,121562,18913,84493,158631
2007,63452,10068,43719,83185
2009,47872,6044,36026,59718
2011,43123,6056,31253,54993
2013,65767,7426,51212,80322
2015,51413,5928,39794,63032
2017,50651,5769,39344,61958
2019,95172,11847,71952,118392
2021,167874,52643,64694,271054
