year,biomass,se,lci,uci
1984,19715,1888,16015,23415
1987,63752,8182,47715,79788
1990,12013,1344,9379,14647
1993,42270,5381,31724,52817
1996,49081,6184,36961,61201
1999,30924,4048,22990,38859
2001,45078,6052,33217,56940
2003,61390,7090,47494,75286
2005,117731,18251,81958,153503
2007,61702,9559,42967,80437
2009,46470,5715,35269,57671
2011,44146,6198,31998,56295
2013,68764,8217,52659,84868
2015,51261,5725,40041,62482
2017,50612,5511,39810,61415
2019,95411,11581,72712,118110
2021,161621,49161,65265,257977
