Year,Unit,Fleet,Estimate_metric_tons,SD_log,SD_mt
1984,1,1,20064.99931,0.152263161,1794.160389
1985,1,1,0,NA,NA
1986,1,1,0,NA,NA
1987,1,1,56353.41739,0.15069036,5262.779308
1988,1,1,0,NA,NA
1989,1,1,0,NA,NA
1990,1,1,13297.77066,0.198816708,1507.961953
1991,1,1,0,NA,NA
1992,1,1,0,NA,NA
1993,1,1,34175.75133,0.191733248,3863.384218
1994,1,1,0,NA,NA
1995,1,1,0,NA,NA
1996,1,1,47494.32494,0.242345313,6348.514931
1997,1,1,0,NA,NA
1998,1,1,0,NA,NA
1999,1,1,31647.73872,0.234101856,4079.6838
2000,1,1,0,NA,NA
2001,1,1,45736.35013,0.271209855,6427.557182
2002,1,1,0,NA,NA
2003,1,1,66026.89543,0.222503528,8309.721461
2004,1,1,0,NA,NA
2005,1,1,132014.8391,0.291773463,23552.70153
2006,1,1,0,NA,NA
2007,1,1,51716.41417,0.213830313,6351.01332
2008,1,1,0,NA,NA
2009,1,1,46847.09613,0.253612196,6855.993453
2010,1,1,0,NA,NA
2011,1,1,39474.73756,0.211522112,4809.706171
2012,1,1,0,NA,NA
2013,1,1,63232.42147,0.210392884,7468.481923
2014,1,1,0,NA,NA
2015,1,1,53620.12544,0.190725682,5875.049082
2016,1,1,0,NA,NA
2017,1,1,52221.35022,0.191245301,5655.33904
2018,1,1,0,NA,NA
2019,1,1,84440.39995,0.191910467,9587.352524
