Year,Unit,Fleet,Estimate_metric_tons,SD_log,SD_mt
1984,1,1,19994.79187,0.168494979,1915.026852
1985,1,1,0,NA,NA
1986,1,1,0,NA,NA
1987,1,1,64093.29483,0.207326813,8131.553353
1988,1,1,0,NA,NA
1989,1,1,0,NA,NA
1990,1,1,11929.20095,0.20307685,1328.916836
1991,1,1,0,NA,NA
1992,1,1,0,NA,NA
1993,1,1,42735.21923,0.221331582,5412.264464
1994,1,1,0,NA,NA
1995,1,1,0,NA,NA
1996,1,1,50285.7312,0.228511336,6342.81031
1997,1,1,0,NA,NA
1998,1,1,0,NA,NA
1999,1,1,30879.29504,0.24542216,4043.350712
2000,1,1,0,NA,NA
2001,1,1,46489.10271,0.268264545,6326.480945
2002,1,1,0,NA,NA
2003,1,1,62613.55855,0.210599897,7290.393135
2004,1,1,0,NA,NA
2005,1,1,116646.277,0.248865306,17940.70696
2006,1,1,0,NA,NA
2007,1,1,60221.16424,0.256733532,8768.038658
2008,1,1,0,NA,NA
2009,1,1,46250.37212,0.216618407,5643.24402
2010,1,1,0,NA,NA
2011,1,1,43840.93457,0.245963852,5994.388749
2012,1,1,0,NA,NA
2013,1,1,68978.54267,0.215205703,8259.986477
2014,1,1,0,NA,NA
2015,1,1,51771.43829,0.195521206,5761.92476
2016,1,1,0,NA,NA
2017,1,1,50379.33537,0.193378765,5366.79526
2018,1,1,0,NA,NA
2019,1,1,94365.72448,0.200700731,11026.32431
