Year,Unit,Fleet,Estimate_metric_tons,SD_log,SD_mt
1984,1,1,18626.08555,0.151540338,1598.654376
1985,1,1,0,NA,NA
1986,1,1,0,NA,NA
1987,1,1,55824.07343,0.161658005,5512.585621
1988,1,1,0,NA,NA
1989,1,1,0,NA,NA
1990,1,1,12347.59909,0.208084461,1376.610111
1991,1,1,0,NA,NA
1992,1,1,0,NA,NA
1993,1,1,40952.86724,0.210124891,4844.045451
1994,1,1,0,NA,NA
1995,1,1,0,NA,NA
1996,1,1,47436.92625,0.219466644,5680.673467
1997,1,1,0,NA,NA
1998,1,1,0,NA,NA
1999,1,1,30989.16694,0.250677847,4085.247576
2000,1,1,0,NA,NA
2001,1,1,46913.25409,0.26807142,6326.231787
2002,1,1,0,NA,NA
2003,1,1,60872.67337,0.205243175,6834.041103
2004,1,1,0,NA,NA
2005,1,1,113307.4424,0.265064143,18231.59707
2006,1,1,0,NA,NA
2007,1,1,56265.75364,0.245252113,7781.658904
2008,1,1,0,NA,NA
2009,1,1,42665.71176,0.202866237,4819.775976
2010,1,1,0,NA,NA
2011,1,1,41114.78783,0.230886582,5189.265891
2012,1,1,0,NA,NA
2013,1,1,63219.3014,0.206004977,7172.206627
2014,1,1,0,NA,NA
2015,1,1,48402.03524,0.185795564,5042.272343
2016,1,1,0,NA,NA
2017,1,1,46752.09139,0.188206514,4809.318004
2018,1,1,0,NA,NA
2019,1,1,82617.55429,0.182532965,8700.010556
