Year,Unit,Fleet,Estimate_metric_tons,SD_log,SD_mt
1984,1,1,22590.41293,0.157193543,3035.945275
1985,1,1,0,NA,NA
1986,1,1,0,NA,NA
1987,1,1,40583.99454,0.145613979,5072.206634
1988,1,1,0,NA,NA
1989,1,1,0,NA,NA
1990,1,1,13077.73162,0.199690949,2226.803809
1991,1,1,0,NA,NA
1992,1,1,0,NA,NA
1993,1,1,36760.13231,0.186879205,5857.591393
1994,1,1,0,NA,NA
1995,1,1,0,NA,NA
1996,1,1,36421.89213,0.203151445,6265.259201
1997,1,1,0,NA,NA
1998,1,1,0,NA,NA
1999,1,1,34201.37475,0.219766112,6370.306355
2000,1,1,0,NA,NA
2001,1,1,44451.80981,0.253300249,9473.277639
2002,1,1,0,NA,NA
2003,1,1,50596.09319,0.195821059,8422.923972
2004,1,1,0,NA,NA
2005,1,1,73620.58265,0.172544184,10954.03627
2006,1,1,0,NA,NA
2007,1,1,51502.41492,0.187802693,8229.088642
2008,1,1,0,NA,NA
2009,1,1,42533.81519,0.196828642,7119.724941
2010,1,1,0,NA,NA
2011,1,1,43944.7467,0.217144001,8095.538514
2012,1,1,0,NA,NA
2013,1,1,64238.44935,0.211855502,11583.42365
2014,1,1,0,NA,NA
2015,1,1,62565.13867,0.192303246,10287.99395
2016,1,1,0,NA,NA
2017,1,1,65543.08089,0.203000715,11302.1651
2018,1,1,0,NA,NA
2019,1,1,94165.37783,0.18397315,14770.80458
