Year,Unit,Fleet,Estimate_metric_tons,SD_log,SD_mt
1984,1,1,21563.32653,0.152822739,2802.397293
1985,1,1,0,NA,NA
1986,1,1,0,NA,NA
1987,1,1,38128.16876,0.138894721,4557.172041
1988,1,1,0,NA,NA
1989,1,1,0,NA,NA
1990,1,1,14204.97184,0.20273006,2360.200884
1991,1,1,0,NA,NA
1992,1,1,0,NA,NA
1993,1,1,36291.54184,0.182564036,5589.284042
1994,1,1,0,NA,NA
1995,1,1,0,NA,NA
1996,1,1,36097.41803,0.200208673,6026.029184
1997,1,1,0,NA,NA
1998,1,1,0,NA,NA
1999,1,1,34382.70235,0.220107186,6297.737618
2000,1,1,0,NA,NA
2001,1,1,45793.90117,0.250714334,9523.874502
2002,1,1,0,NA,NA
2003,1,1,51040.33985,0.193252776,8283.529071
2004,1,1,0,NA,NA
2005,1,1,71295.05414,0.170998981,10356.6974
2006,1,1,0,NA,NA
2007,1,1,49067.88121,0.181683216,7521.933273
2008,1,1,0,NA,NA
2009,1,1,40970.41178,0.192302448,6610.058754
2010,1,1,0,NA,NA
2011,1,1,42937.44374,0.21425975,7702.045744
2012,1,1,0,NA,NA
2013,1,1,60269.05622,0.209535083,10628.71383
2014,1,1,0,NA,NA
2015,1,1,59613.44189,0.189699876,9558.829767
2016,1,1,0,NA,NA
2017,1,1,61395.97836,0.200368919,10408.86928
2018,1,1,0,NA,NA
2019,1,1,84290.02371,0.180157213,12972.08056
