year,biomass,se,lci,uci
1990,13032,2262,8598,29885
1993,36132,5914,24541,84231
1996,36044,6269,23757,82607
1999,34346,6475,21655,76790
2001,42086,8875,24691,90480
2003,49970,8413,33481,115592
2005,75852,11492,53328,180374
2007,52225,8373,35814,122420
2009,42053,6991,28351,97620
2011,43388,8143,27428,97146
2013,62049,11280,39940,140332
2015,60796,10080,41039,141233
2017,63808,11281,41697,145535
2019,91897,14553,63373,216108
2021,71717,12718,46790,163425
