Year,sPrevious,sCurrent,tPrevious,tCurrent,cPrevious,cCurrent,rPrevious,rCurrent
1977,10267,11743,23540,27313,0.02,0.02,1693,1606
1978,9725,11228,22901,26510,0.01,0.02,1851,1710
1979,9381,10908,22614,26082,0.01,0.02,2139,2194
1980,9085,10616,22437,25705,0.03,0.03,6613,5312
1981,8727,10231,22180,25293,0.04,0.04,4802,6042
1982,8411,9869,23894,26205,0.04,0.04,3912,6742
1983,8240,9630,25381,27869,0.04,0.04,1687,3871
1984,8208,9521,26649,30169,0.02,0.02,8858,5375
1985,8512,9786,27295,31973,0.00,0.01,1866,3463
1986,9306,10572,31522,34943,0.00,0.00,3439,3239
1987,10300,11626,33205,37207,0.00,0.00,2131,2245
1988,11397,12851,35258,39191,0.03,0.03,10148,9628
1989,12062,13708,35530,39612,0.05,0.03,5987,6167
1990,12559,14417,38724,42644,0.04,0.03,18929,18966
1991,13352,15141,41301,44963,0.05,0.03,12841,13173
1992,14181,15887,49607,52751,0.07,0.06,11107,11435
1993,14312,15889,54577,57396,0.06,0.05,2921,3103
1994,14941,16411,59493,62122,0.05,0.05,7924,8284
1995,16173,17485,61026,63556,0.05,0.04,5699,6154
1996,17939,19137,63963,66501,0.04,0.03,17341,18314
1997,20165,21289,66086,68802,0.04,0.04,3082,3358
1998,22267,23459,72709,75757,0.04,0.04,9539,10257
1999,23817,25013,73133,76426,0.06,0.06,19122,20842
2000,24438,25634,74280,77797,0.05,0.05,2328,2606
2001,25248,26610,80485,84683,0.04,0.03,12008,12845
2002,26399,27857,80860,85440,0.04,0.04,14696,16181
2003,27512,29143,84276,89339,0.04,0.03,6412,7125
2004,28828,30700,89284,95080,0.03,0.03,8665,10733
2005,30412,32463,91415,97663,0.02,0.02,8623,10198
2006,32151,34481,94269,101627,0.03,0.02,3665,4538
2007,33709,36364,96551,104929,0.04,0.03,3801,5459
2008,34688,37679,95389,104597,0.04,0.03,5458,6178
2009,35314,38675,93305,103628,0.03,0.03,6187,7508
2010,35869,39626,91975,102999,0.03,0.03,7417,9686
2011,36014,40175,90643,102515,0.03,0.02,13312,14442
2012,36081,40628,90384,103436,0.04,0.04,12342,12203
2013,35205,40158,91407,105144,0.04,0.03,8534,9871
2014,34642,39942,93544,107332,0.03,0.03,24358,22778
2015,34271,39860,94581,108907,0.03,0.03,2522,2804
2016,34375,40324,102922,116330,0.03,0.03,2688,7194
2017,34680,40834,102566,115798,0.03,0.02,2757,2920
2018,35741,42028,102009,116832,0.03,0.02,2593,6313
2019,36910,43235,100277,115233,0.03,0.02,2088,2391
2020,38202,44568,98099,114641,0.02,0.02,2223,2541
2021,,45641,,112246,,0.03,,2370
2022,,45775,,108509,,0.02,,2703
