Year,Unit,Fleet,Estimate_metric_tons,SD_log,SD_mt
1984,1,1,22276.85802,0.152589132,2909.117946
1985,1,1,0,NA,NA
1986,1,1,0,NA,NA
1987,1,1,38128.35341,0.13776209,4550.285386
1988,1,1,0,NA,NA
1989,1,1,0,NA,NA
1990,1,1,14523.82425,0.202399117,2404.053086
1991,1,1,0,NA,NA
1992,1,1,0,NA,NA
1993,1,1,36179.11082,0.181083516,5552.704855
1994,1,1,0,NA,NA
1995,1,1,0,NA,NA
1996,1,1,36564.55874,0.198455518,6071.289824
1997,1,1,0,NA,NA
1998,1,1,0,NA,NA
1999,1,1,34517.88833,0.217768885,6279.535236
2000,1,1,0,NA,NA
2001,1,1,47352.97248,0.2485398,9809.066907
2002,1,1,0,NA,NA
2003,1,1,51740.55229,0.190701756,8333.263963
2004,1,1,0,NA,NA
2005,1,1,71919.01501,0.17038298,10435.56948
2006,1,1,0,NA,NA
2007,1,1,47880.93333,0.181141074,7341.921126
2008,1,1,0,NA,NA
2009,1,1,39544.988,0.190929349,6354.577084
2010,1,1,0,NA,NA
2011,1,1,42560.35645,0.214148613,7657.037734
2012,1,1,0,NA,NA
2013,1,1,59441.99512,0.208665019,10487.07901
2014,1,1,0,NA,NA
2015,1,1,57850.17686,0.189402541,9285.646431
2016,1,1,0,NA,NA
2017,1,1,59313.76411,0.200021653,10092.24396
2018,1,1,0,NA,NA
2019,1,1,83261.57249,0.179120139,12818.56681
