"","obs","pred"
"1",388,667.788
"2",162,399.942
"3",224,463.993
"4",597,779.236
"5",845,932.524
"6",853,921.343
"7",1017,1012.95
"8",510,716.855
"9",34,163.227
"10",17,119.711
"11",19,134.833
"12",1067,1183.79
"13",1707,1591.93
"14",1612,991.048
"15",2187.16,1130.26
"16",3531.91,3137.92
"17",3181.94,2900.58
"18",2979.62,2761.89
"19",2881.88,2714.86
"20",2290.33,2252.12
"21",2466.62,2438.82
"22",3109.15,3064.26
"23",4658.44,4504.66
"24",3728.36,3644.05
"25",3006.01,2956.5
"26",3320.8,3264.14
"27",3055.77,3037.31
"28",2688.43,2693.01
"29",2236.41,2276.96
"30",2452.87,2497.16
"31",3384.59,3445.79
"32",3644.08,3710.41
"33",3074.69,3119.83
"34",3141.97,3180.63
"35",2540.38,2565.52
"36",4009.7,3971.07
"37",3155.08,3184.93
"38",3060.13,3085.04
"39",2778.49,2820.98
"40",3320.8,3346.75
"41",2619.26,2631.37
"42",2907.11,2902.4
"43",2488.66,2520.1
"44",2197.5,2238.03
