"year","biomass","se","lci","uci","pred"
1984,25701,4166,17703,33699,13148.1
1987,81512,15140,52443,110580,17157.2
1990,13146,1582,10108,16184,20621.3
1993,42990,5320,32775,53205,24264.7
1996,49881,6979,36482,63280,31673.9
1999,33952,5063,24230,43673,39195.3
2001,49766,6838,36637,62896,41128.7
2003,61351,7832,46314,76389,44886.5
2005,125885,17020,93207,158563,49304.9
2007,76491,12646,52211,100771,53915.9
2009,46428,5959,34987,57869,55441.4
2011,45621,5944,34208,57034,55333.2
2013,80669,11565,58464,102875,53706.2
2015,58145,9371,40152,76138,53357.9
2017,48902,4967,39365,58439,55503.1
2019,89965,10543,69722,110208,59048.8
