age,ages_sd
4,0.20336104579630895
5,0.236221004784689
6,0.26908096377306906
7,0.3019409227614491
8,0.33480088174982914
9,0.3676608407382092
10,0.4005207997265892
11,0.4333807587149693
12,0.46624071770334935
13,0.49910067669172936
14,0.5319606356801094
15,0.5648205946684894
16,0.5976805536568695
17,0.6305405126452495
18,0.6634004716336297
19,0.6962604306220097
20,0.7291203896103897
21,0.7619803485987697
22,0.7948403075871497
23,0.8277002665755298
24,0.86056022556391
25,0.89342018455229
26,0.92628014354067
27,0.95914010252905
28,0.99200006151743
29,1.02486002050581
30,1.05771997949419
31,1.0905799384825703
32,1.1234398974709503
33,1.1562998564593303
34,1.1891598154477103
35,1.2220197744360903
36,1.2548797334244706
37,1.2877396924128506
38,1.3205996514012306
39,1.3534596103896106
40,1.3863195693779906
41,1.4191795283663706
42,1.4520394873547509
43,1.4848994463431309
44,1.5177594053315109
45,1.550619364319891
46,1.583479323308271
47,1.616339282296651
48,1.6491992412850311
49,1.6820592002734112
50,1.7149191592617912
51,1.7477791182501712
52,1.7806390772385512
53,1.8134990362269312
54,1.8463589952153112
55,1.8792189542036914
56,1.9120789131920715
57,1.9449388721804515
58,1.9777988311688315
59,2.0106587901572115
60,2.0435187491455915
61,2.0763787081339715
62,2.1092386671223515
63,2.1420986261107315
64,2.1749585850991116
65,2.2078185440874916
66,2.2406785030758716
67,2.2735384620642516
68,2.3063984210526316
69,2.3392583800410116
70,2.3721183390293916
71,2.404978298017772
72,2.437838257006152
73,2.470698215994532
74,2.503558174982912
75,2.536418133971292
76,2.569278092959672
77,2.602138051948052
78,2.634998010936432
79,2.667857969924812
80,2.700717928913192
81,2.733577887901572
82,2.766437846889952
83,2.799297805878332
84,2.8321577648667127
85,2.8650177238550927
86,2.8978776828434727
87,2.9307376418318527
88,2.9635976008202327
89,2.9964575598086127
90,3.0293175187969927
91,3.0621774777853727
92,3.0950374367737528
93,3.1278973957621328
94,3.160757354750513
95,3.193617313738893
96,3.2264772727272732
97,3.2593372317156533
98,3.2921971907040333
99,3.3250571496924133
100,3.3579171086807933
