age	sample_size	Lbar	SD_Lbar
2	3	12.333333333333334	0.5773502691896257
3	39	18.498430385474702	1.9030029682117662
4	71	22.843843856218314	2.5076519353300877
5	123	26.520887398147785	2.4090572133017116
6	191	30.59733058381969	2.3579707455178927
7	260	33.55309519448031	2.545119569793189
8	298	36.28877186288997	2.699345513763159
9	499	38.5094926067379	2.599589417641901
10	504	40.344160928628426	2.566984334858588
11	437	41.671812832464234	2.5432609733985583
12	430	42.68597006324793	2.3128084143449765
13	421	43.70209756271853	2.3413595144061046
14	363	44.35157172632444	2.27283635060507
15	302	44.82937027651511	2.3467289401082487
16	237	45.41423479229932	2.2742199897465705
17	188	45.88982948836119	2.1373027407384617
18	186	46.05450503344318	2.2450884734165593
19	170	46.68754236679317	2.2001572322123852
20	135	47.05527298999589	2.265230052026514
21	120	47.25387948250204	2.2440541302188035
22	95	47.52973560171311	2.7633607209595654
23	98	47.95834287373855	2.4605749616495656
24	75	48.03560064507463	2.373793489391074
25	68	47.84084192142811	2.589648770669919
26	63	47.550838162707116	2.5682913675102186
27	55	48.42235926214731	2.7941890153093403
28	49	48.517094594026624	2.591839942249038
29	42	48.068578941165114	2.8210255962102386
30	44	47.69835229998065	2.563429105427182
31	33	48.20641153797417	3.6962485086387207
32	17	47.718106849660536	3.080467219364197
33	10	48.153379297410666	2.783463166771953
34	16	47.9761860103624	3.876318843410127
35	15	46.99003739526904	3.5366546010768234
36	5	49.24565979799302	2.832653901067134
37	18	48.566803522125326	2.4834859876983524
38	10	49.092314226892	3.1507184564839146
39	5	47.49966966192831	4.108129559067998
40	5	50.027908825838615	2.105520789647181
41	9	48.809682936816984	2.8084885066915506
42	5	48.876139387020174	1.831952677741149
43	4	46.42698779860078	2.5751653907802567
44	2	49.95946636125858	1.1974288621395328
45	4	49.641629702763375	4.058571957129885
46	2	47.49686035287445	0.5906460643083548
48	4	48.4603838157447	2.4999504703061706
50	2	48.7160249108741	3.6184604405744105
51	2	47.49828005654277	1.7821178166379423
52	3	45.87589611292086	2.841138658853802
57	2	50.89589905362777	1.2020808931154183
