"","x"
"1",204
"2",344.8
"3",501.5
"4",662.9
"5",820.5
"6",968.7
"7",1104.4
"8",1226.1
"9",1333.7
"10",1427.6
"11",1508.7
"12",1578.3
"13",1637.6
"14",1687.9
"15",1730.5
"16",1766.3
"17",1796.4
"18",1821.6
"19",1842.7
"20",1860.3
"21",1875
"22",1887.3
"23",1897.5
"24",1906
"25",1930.4
