"age","fish","srv1"
4,0.000603783,0.0349447
5,0.00195835,0.0669432
6,0.00633258,0.124463
7,0.0202787,0.219766
8,0.0629913,0.358189
9,0.179212,0.52512
10,0.414911,0.68662
11,0.697264,0.812779
12,0.882082,0.895853
13,0.960468,0.944579
14,0.987486,0.971241
15,0.996113,0.985277
16,0.9988,0.992516
17,0.99963,0.99621
18,0.999886,0.998084
19,0.999965,0.999033
20,0.999989,0.999513
21,0.999997,0.999755
22,0.999999,0.999877
23,1,0.999939
24,1,0.99997
25,1,0.999986
26,1,0.999994
27,1,0.999998
28,1,1
