"year","biomass","se","lci","uci","pred"
1984,22590,3036,16639.44,28540.56,16516
1987,40584,5072,30642.88,50525.12,20780.8
1990,13078,2227,8713.08,17442.92,23447.1
1993,36760,5858,25278.32,48241.68,25906.7
1996,36422,6265,24142.6,48701.4,32280.8
1999,34201,6370,21715.8,46686.2,39080.7
2001,44452,9473,25884.92,63019.08,40658.7
2003,50596,8423,34086.92,67105.08,44184.7
2005,73621,10954,52151.16,95090.84,48635.9
2007,51502,8229,35373.16,67630.84,53338.8
2009,42534,7120,28578.8,56489.2,54990.7
2011,43945,8096,28076.84,59813.16,54989.9
2013,64238,11583,41535.32,86940.68,53450.7
2015,62565,10288,42400.52,82729.48,53294.4
2017,65543,11302,43391.08,87694.92,55732
2019,94165,14771,65213.84,123116.16,59514.7
