"","obs","pred"
"1",388,725.736
"2",162,436.12
"3",224,506.421
"4",597,848.772
"5",845,1013.7
"6",852,1000.3
"7",1017,1096.77
"8",540,811.626
"9",34,179.819
"10",17,131.288
"11",19,148.428
"12",1067,1431.73
"13",1707,2016.89
"14",1612,1202.08
"15",2035,1332.12
"16",3443,3188.51
"17",3119,2911.2
"18",2913,2752.34
"19",2836,2710.38
"20",2275,2241.41
"21",2464,2436.26
"22",3107,3059.11
"23",4535,4400.03
"24",3699,3621.03
"25",2997,2934.72
"26",3301,3229.99
"27",3020,2972.19
"28",2557,2543.11
"29",2209,2230.31
"30",2437,2459.26
"31",3373,3376.12
"32",3620,3622.37
"33",3069,3070.41
"34",3132,3126.74
"35",2531,2535.1
"36",4010,3925.91
"37",3158,3146.07
"38",3062,3047.89
"39",2781,2795.19
"40",3327,3315.2
"41",2622,2637.35
"42",2913,2913.59
"43",2491,2518.93
"44",2298,2333.16
