"YEAR","HAUL_DATE","SPECIES","FMP_AREA","GEAR_TYPE","EXTRAPOLATED_WEIGHT"
2018,2018-09-21,330,"GOA",1,4248.76
2018,2018-10-15,330,"GOA",2,110.36
2018,2018-10-24,330,"GOA",1,53.39
2018,2018-10-24,330,"GOA",1,50.99
2018,2018-05-22,330,"GOA",1,5899.68
2018,2018-05-22,330,"GOA",1,2075.9
2018,2018-05-22,330,"GOA",1,957.34
2018,2018-05-22,330,"GOA",1,2556.73
2018,2018-05-31,330,"GOA",1,7122.31
2018,2018-05-31,330,"GOA",1,2663.89
2018,2018-05-31,330,"GOA",1,19135.94
2018,2018-06-01,330,"GOA",1,5669.77
2018,2018-06-01,330,"GOA",1,5981.95
2018,2018-10-14,330,"GOA",8,5.5
2018,2018-10-17,330,"GOA",8,7.33
2018,2018-10-31,330,"GOA",1,94.42
2018,2018-10-23,330,"GOA",1,50.27
2018,2018-10-24,330,"GOA",1,54.19
2018,2018-06-03,330,"GOA",1,418.88
2018,2018-06-03,330,"GOA",1,1271.98
2018,2018-06-03,330,"GOA",1,795.77
2018,2018-06-04,330,"GOA",2,768.05
2018,2018-10-16,330,"GOA",2,46.96
2018,2018-05-19,330,"GOA",1,1107.93
2018,2018-05-21,330,"GOA",1,246.15
2018,2018-05-21,330,"GOA",1,1613.36
2018,2018-05-21,330,"GOA",1,1123.93
2018,2018-05-21,330,"GOA",1,1205.72
2018,2018-05-12,330,"GOA",2,483.47
2018,2018-05-13,330,"GOA",2,123.56
2018,2018-05-15,330,"GOA",1,3289.66
2018,2018-05-15,330,"GOA",1,9467.29
2018,2018-05-16,330,"GOA",1,8351.72
2018,2018-05-16,330,"GOA",1,510.02
2018,2018-05-16,330,"GOA",1,7456.73
2018,2018-09-26,330,"GOA",1,144.08
2018,2018-10-15,330,"GOA",1,57.78
2018,2018-10-14,330,"GOA",1,41.42
2018,2018-10-22,330,"GOA",1,166.61
2018,2018-10-23,330,"GOA",1,180.96
2018,2018-10-24,330,"GOA",1,25.74
2018,2018-10-26,330,"GOA",1,46.21
2018,2018-05-09,330,"GOA",1,114.67
2018,2018-05-09,330,"GOA",1,703.31
2018,2018-05-09,330,"GOA",1,30.66
2018,2018-05-09,330,"GOA",1,713.09
2018,2018-10-05,330,"GOA",1,214.02
2018,2018-01-30,330,"GOA",8,22.06
2018,2018-10-08,330,"GOA",1,34.12
2018,2018-10-12,330,"GOA",1,41.41
2018,2018-10-13,330,"GOA",1,11.68
2018,2018-10-13,330,"GOA",1,25.82
2018,2018-05-02,330,"GOA",1,3026.85
2018,2018-05-02,330,"GOA",1,1931.44
2018,2018-05-02,330,"GOA",1,1066.19
2018,2018-05-03,330,"GOA",1,1876.18
2018,2018-05-03,330,"GOA",1,276.64
2018,2018-09-17,330,"GOA",8,31.01
2018,2018-09-18,330,"GOA",8,124.06
2018,2018-09-25,330,"GOA",1,10.06
2018,2018-09-26,330,"GOA",1,6441.62
2018,2018-09-27,330,"GOA",1,2127.65
