"year","biomass","se","lci","uci","pred"
1984,21563,2802,16071.08,27054.92,17298.1
1987,38128,4557,29196.28,47059.72,21843.1
1990,14205,2360,9579.4,18830.6,24559.4
1993,36292,5589,25337.56,47246.44,26854
1996,36097,6026,24286.04,47907.96,33004.8
1999,34383,6298,22038.92,46727.08,39525.5
2001,45794,9524,27126.96,64461.04,40752.3
2003,51040,8284,34803.36,67276.64,43947
2005,71295,10357,50995.28,91594.72,48030.9
2007,49068,7522,34324.88,63811.12,52351.5
2009,40970,6610,28014.4,53925.6,53526.7
2011,42937,7702,27841.08,58032.92,53132.7
2013,60269,10629,39436.16,81101.84,51226
2015,59613,9559,40877.36,78348.64,50630.3
2017,61396,10409,40994.36,81797.64,52457.6
2019,84290,12972,58864.88,109715.12,55565.3
