"","obs","pred"
"1",388,751.13
"2",162,449.732
"3",224,522.279
"4",597,877.303
"5",845,1048.17
"6",852,1032.79
"7",1017,1131.56
"8",540,825.577
"9",34,183.951
"10",17,134.46
"11",19,152.368
"12",1067,1465.87
"13",1707,2058.86
"14",1612,1245.73
"15",2035,1379.74
"16",3443,3203.21
"17",3119,2922
"18",2913,2761.14
"19",2836,2717.67
"20",2275,2245.39
"21",2464,2439.79
"22",3107,3062.92
"23",4535,4401.89
"24",3699,3621.83
"25",2997,2934.87
"26",3301,3229.79
"27",3020,2972.84
"28",2557,2543.4
"29",2209,2231.51
"30",2437,2460.56
"31",3373,3374.64
"32",3620,3620.33
"33",3069,3062.7
"34",3132,3117.88
"35",2531,2527.57
"36",4010,3909.74
"37",3158,3136.36
"38",3062,3038.09
"39",2781,2789
"40",3327,3306.6
"41",2622,2630.79
"42",2913,2904.94
"43",2491,2512.62
"44",2298,2326.85
