"","obs","pred"
"1",388,653
"2",162,396.884
"3",224,459.645
"4",597,761.402
"5",845,904.116
"6",853,891.947
"7",1017,972.644
"8",510,650.26
"9",34,157.111
"10",17,114.493
"11",19,128.33
"12",1067,1012.33
"13",1707,1339.28
"14",1612,1165.69
"15",2187.16,1352.05
"16",3531.91,3263
"17",3181.94,2976.33
"18",2979.62,2819.9
"19",2881.88,2757.41
"20",2290.33,2261.07
"21",2466.62,2443.47
"22",3109.15,3066.89
"23",4658.44,4550.62
"24",3728.36,3670.34
"25",3006.01,2967.56
"26",3320.8,3273.08
"27",3055.77,3028.33
"28",2688.43,2684.04
"29",2236.41,2267.52
"30",2452.87,2484.97
"31",3384.59,3406.88
"32",3644.08,3663.63
"33",3074.69,3098.11
"34",3141.98,3158.74
"35",2540.36,2564.19
"36",4010.49,3964.8
"37",3158.25,3161.11
"38",3062.06,3062.2
