"","obs","pred"
"1",388,699.805
"2",162,422.913
"3",224,491.038
"4",597,819.929
"5",845,978.096
"6",852,966.524
"7",1017,1059.29
"8",540,867.748
"9",34,177.38
"10",17,128.02
"11",19,143.113
"12",1067,1532.84
"13",1707,2363.94
"14",1612,990.293
"15",2035,1086.88
"16",3443,3060.9
"17",3119,2839.12
"18",2913,2696.46
"19",2836,2666.78
"20",2275,2236.21
"21",2464,2434.9
"22",3107,3060.83
"23",4535,4361.65
"24",3699,3596.93
"25",2997,2935.6
"26",3301,3231.45
"27",3020,2998.48
"28",2557,2562.75
"29",2209,2243.99
"30",2437,2474.62
"31",3373,3416.17
"32",3620,3666.05
"33",3069,3103.58
"34",3132,3160.54
"35",2531,2551.73
"36",4010,3960.81
"37",3158,3182.25
"38",3062,3082.33
"39",2781,2812.59
"40",3327,3338.42
"41",2622,2635.4
"42",2913,2911.02
"43",2491,2524.94
"44",2298,2339.13
