"year","biomass","se","lci","uci","pred"
1984,19995,1915,16241.6,23748.4,14499
1987,64093,8132,48154.28,80031.72,17594
1990,11929,1329,9324.16,14533.84,19331
1993,42735,5412,32127.48,53342.52,22574.3
1996,50286,6343,37853.72,62718.28,29962.2
1999,30879,4043,22954.72,38803.28,37080.9
2001,46489,6326,34090.04,58887.96,39234
2003,62614,7290,48325.6,76902.4,43067.1
2005,116646,17941,81481.64,151810.36,47618.6
2007,60221,8768,43035.72,77406.28,52252.1
2009,46250,5643,35189.72,57310.28,53975.2
2011,43841,5994,32092.76,55589.24,54002.1
2013,68979,8260,52789.4,85168.6,52617
2015,51771,5762,40477.48,63064.52,52666.1
2017,50379,5367,39859.68,60898.32,55364.1
2019,94366,11026,72755.04,115976.96,59386.1
