"name","2000","2001","2002","2003","2004","2005","2006","2008","2010","2012","2014","2016","2018","2020"
"4",0,0,0,0,0.0024,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.0024,0.0019,0,0.0016,0.0047,0,0,0,0,0,0.0031,0.0064,0,0.0022
"7",0,0.0039,0.0068,0,0.0071,0.0023,0.0065,0.0066,0,0.0016,0,0.0016,0.0104,0.0067
"8",0.0122,0.0039,0.0091,0.0191,0.0024,0.0045,0.0259,0.0066,0.006,0.0033,0.0185,0.0128,0.0594,0.0157
"9",0.0073,0.0426,0.0113,0.0303,0.0545,0.0135,0.0356,0.0381,0.0331,0.0033,0.0077,0.0335,0.0475,0.018
"10",0.0341,0.0348,0.1043,0.0462,0.0687,0.0923,0.0777,0.0861,0.0542,0.0245,0.0355,0.0575,0.0713,0.0899
"11",0.0487,0.0677,0.1088,0.1768,0.0664,0.1036,0.1456,0.1093,0.0693,0.0899,0.0216,0.0559,0.1174,0.0764
"12",0.1411,0.0774,0.0952,0.1019,0.1825,0.0788,0.0971,0.0646,0.1506,0.0948,0.0309,0.0543,0.0906,0.1034
"13",0.2068,0.1315,0.0635,0.0908,0.1137,0.1914,0.0744,0.1639,0.1054,0.116,0.0989,0.0639,0.0773,0.0966
"14",0.2117,0.1702,0.1542,0.0382,0.0829,0.0991,0.1133,0.0762,0.0482,0.1389,0.0649,0.0543,0.0446,0.0674
"15",0.0998,0.1605,0.1338,0.0732,0.0403,0.0608,0.0712,0.0596,0.1325,0.085,0.0757,0.0895,0.0267,0.0607
"16",0.0511,0.089,0.1202,0.1274,0.0758,0.0383,0.0518,0.0579,0.0663,0.0621,0.1097,0.0623,0.0505,0.0449
"17",0.0268,0.06,0.0522,0.0971,0.1043,0.0608,0.0388,0.0447,0.0271,0.0752,0.0881,0.0559,0.0446,0.0427
"18",0.0146,0.0309,0.0249,0.0621,0.0545,0.0608,0.0712,0.0414,0.0452,0.0327,0.0603,0.0767,0.049,0.0382
"19",0.0146,0.0116,0.0113,0.0175,0.019,0.0631,0.0356,0.043,0.0422,0.0212,0.0711,0.0559,0.0579,0.0427
"20",0.0122,0.0174,0.0068,0.0143,0.0213,0.0383,0.0485,0.0497,0.0181,0.0294,0.0479,0.0431,0.0371,0.036
"21",0.0292,0.0116,0.0159,0.008,0.0166,0.0225,0.0227,0.0364,0.009,0.0343,0.0278,0.0479,0.0327,0.0382
"22",0.0219,0.0097,0.0045,0.008,0.0118,0.0225,0.0194,0.0298,0.0512,0.0359,0.0309,0.0335,0.0342,0.036
"23",0.0195,0.0097,0.0068,0.0096,0.0071,0.0023,0.0097,0.0132,0.0512,0.0212,0.0325,0.0208,0.0208,0.0247
"24",0.0146,0.0193,0.0136,0.0016,0,0,0.0065,0.0099,0.0211,0.031,0.0201,0.0367,0.0208,0.0225
"25",0.0073,0.0135,0.0159,0.0191,0,0.0068,0.0032,0.005,0.012,0.0212,0.0155,0.0224,0.0193,0.0337
"26",0.0073,0.0097,0.0113,0.0143,0.0024,0.0045,0,0.0033,0.009,0.0131,0.0216,0.0208,0.0163,0.018
"27",0.0049,0.0039,0.0068,0.0143,0.019,0,0.0065,0.0017,0.003,0.0147,0.0325,0.0128,0.0178,0.018
"28",0.0049,0.0077,0,0.008,0.019,0.009,0.0065,0.005,0,0.0065,0.0155,0.0112,0.0089,0.009
"29",0.0024,0.0019,0.0023,0.0032,0.0024,0.0023,0.0032,0.005,0.003,0.0033,0.0232,0.0144,0.0045,0.009
"30+",0.0049,0.0097,0.0204,0.0175,0.0213,0.0225,0.0291,0.043,0.0422,0.0408,0.0464,0.0559,0.0401,0.0494
"n_s",411,517,441,628,422,444,309,604,332,612,647,626,673,445
"n_h",131,166,147,270,184,186,143,302,223,400,357,437,423,364
