Record Count,Loaded to Repository,Year,Management Group,Total Biomass (mt),Eastern Biomass (mt),Eastern Fraction,Western Biomass (mt),Western Fraction
1,9/25/2024 11:50,1990,dusky rockfish,75.6,75.6,1,0,0
1,9/25/2024 11:50,1996,dusky rockfish,14964.3,6057.9,0.40482348,8906.4,0.59517652
1,9/25/2024 11:50,1999,dusky rockfish,4150.9,3876.5,0.933893854,274.4,0.066106146
1,9/25/2024 11:50,2003,dusky rockfish,15674.9,13829.1,0.882244863,1845.8,0.117755137
1,9/25/2024 11:50,2005,dusky rockfish,2676.5,1208.2,0.451410424,1468.3,0.548589576
1,9/25/2024 11:50,2007,dusky rockfish,9331.5,6789,0.727535766,2542.5,0.272464234
1,9/25/2024 11:50,2009,dusky rockfish,20855.8,14751.3,0.707299648,6104.5,0.292700352
1,9/25/2024 11:50,2011,dusky rockfish,4784.4,2036.7,0.425696012,2747.7,0.574303988
1,9/25/2024 11:50,2013,dusky rockfish,43423.3,11072.8,0.254996741,32350.5,0.745003259
1,9/25/2024 11:50,2015,dusky rockfish,2521.8,1205,0.477833294,1316.8,0.522166706
1,9/25/2024 11:50,2017,dusky rockfish,1885.6,1441.9,0.764690284,443.7,0.235309716
1,9/25/2024 11:50,2019,dusky rockfish,8003.9,2227.8,0.27833931,5776.1,0.72166069
1,9/25/2024 11:50,2021,dusky rockfish,1675.8,1016.3,0.606456618,659.5,0.393543382
1,9/25/2024 11:50,2023,dusky rockfish,3098.5,2335.9,0.75388091,762.6,0.24611909
