year,biomass,se,lci,uci
1990,25975,2787,20511,31438
1993,70785,7219,56635,84935
1996,70382,7564,55556,85208
1999,67824,7919,52303,83344
2001,80786,10397,60408,101163
2003,97433,10148,77543,117322
2005,146360,13957,119004,173717
2007,101469,10153,81569,121369
2009,80181,8287,63939,96423
2011,82884,9603,64062,101707
2013,119972,13580,93354,146590
2015,118942,12379,94679,143206
2017,123432,13544,96886,149978
2019,175376,17358,141355,209396
2021,139740,15395,109567,169914
2023,117076,13328,90954,143198
