"year","biomass","se","lci","uci","pred"
1984,25648,5901,14083,37214,13297.8
1987,94212,29391,36606,151819,17213.4
1990,26895,8635,9971,43819,20560.9
1993,57746,16835,24749,90743,24271.6
1996,74480,32851,10091,138869,31894.3
1999,49628,19194,12008,87248,39372.5
2001,31004,9279,12817,49190,41353.1
2003,70856,34352,3526,138186,45087.9
2005,170513,51658,69264,271762,49573.2
2007,73074,34498,5457,140690,54154.5
2009,72123,24687,23735,120510,55609.3
2011,83407,36806,11267,155546,55375
2013,99170,35767,29067,169272,53623.9
2015,32790,7870,17364,48216,53218.8
2017,51270,12979,25832,76708,55404.3
2019,88365,19363,50414,126316,59032
