year,maxf,authf,half_maxf,avg5f,nof,overf,appoverf
2022,0.028,0.028,0.028,0.028,0.028,0.028,0.028
2023,0.045,0.045,0.045,0.045,0.045,0.112,0.091
2024,0.091,0.025,0.046,0.031,0,0.112,0.091
2025,0.091,0.05,0.046,0.031,0,0.112,0.112
2026,0.091,0.091,0.046,0.031,0,0.112,0.112
2027,0.091,0.091,0.046,0.031,0,0.112,0.112
2028,0.091,0.091,0.046,0.031,0,0.112,0.112
2029,0.091,0.091,0.046,0.031,0,0.104,0.107
2030,0.091,0.091,0.046,0.031,0,0.099,0.101
2031,0.09,0.091,0.046,0.031,0,0.097,0.099
2032,0.088,0.091,0.046,0.031,0,0.096,0.098
2033,0.088,0.091,0.046,0.031,0,0.097,0.098
2034,0.088,0.091,0.046,0.031,0,0.097,0.098
2035,0.088,0.091,0.046,0.031,0,0.098,0.099
