year,maxf,authf,half_maxf,avg5f,nof,overf,appoverf
2022,2584.9700000000003,2584.9700000000003,2584.9700000000003,2584.9700000000003,2584.9700000000003,2584.9700000000003,2584.9700000000003
2023,3954.97,3954.97,3954.97,3954.97,3954.97,9643.85,7921.4000000000005
2024,7592.889999999999,2139,3879.46,2616.69,0,8672.599999999999,7265.81
2025,6909.379999999999,4107,3686.98,2522.86,0,7751.62,8059.4800000000005
2026,6246.25,6910.04,3478.22,2413.86,0,6887.240000000001,7151.94
2027,5636.24,6216.48,3270.4900000000002,2301.05,0,6114.080000000001,6339.85
2028,5125.5199999999995,5629.41,3089.51,2201.81,0,5478.83,5674.48
2029,4764.509999999999,5200.14,2965.1,2136.54,0,4689.669999999999,4990.02
2030,4563.13,4940.33,2908.3,2114.2400000000002,0,4296.43,4515.16
2031,4374.19,4784.45,2894.22,2118.96,0,4147.2,4311.06
2032,4299.91,4704.27,2907.4399999999996,2142.3999999999996,0,4170.79,4294.11
2033,4279.620000000001,4657.14,2937.73,2175.38,0,4218.35,4311.969999999999
2034,4315.98,4623.34,2969.16,2206.76,0,4293.8,4364.27
2035,4325.47,4596.87,3000.3199999999997,2237.81,0,4381.83,4441.75
