"Year","mgmt","Western","Central","Eastern","Total"
NA,"Area Apportionment",13.7,65.1,21.2,100
2025,"ABC",867.871926260487,4127.96881193573,1342.15926180379,6338
2025,"OFL",NA,NA,NA,7705
2026,"ABC",824.464636796212,3921.50524087488,1275.0301223289,6021
2026,"OFL",NA,NA,NA,7319
