"year","western","central","eastern","model_name","wyak","seo"
1990,0.150770557868784,0.636482501495952,0.212746940635264,"vast",NA,NA
1993,0.133414016612883,0.641823725558479,0.224762257828638,"vast",NA,NA
1996,0.144968940668082,0.617177987504556,0.237853071827363,"vast",NA,NA
1999,0.147046962440172,0.651250616670587,0.201702420889241,"vast",NA,NA
2001,0.147619229094886,0.633881071184255,0.218499699720859,"vast",NA,NA
2003,0.158000086281625,0.644904773988852,0.197095139729523,"vast",NA,NA
2005,0.156151436836901,0.667261676207035,0.176586886956064,"vast",NA,NA
2007,0.143629175243886,0.633465366951706,0.222905457804408,"vast",0.59,0.41
2009,0.131968218605851,0.641368903406102,0.226662877988047,"vast",0.53,0.47
2011,0.146873871880171,0.647253767667246,0.205872360452583,"vast",0.63,0.37
2013,0.128449249808665,0.66572174299746,0.205829007193874,"vast",0.87,0.13
2015,0.119693008755506,0.696604618803662,0.183702372440832,"vast",0.75,0.25
2017,0.13827400497872,0.657800161300311,0.203925833720969,"vast",0.74,0.26
2019,0.127012325742021,0.679829734496008,0.193157939761971,"vast",0.82,0.18
2021,0.138400660874227,0.674349043319001,0.187250295806772,"vast",0.76,0.24
2023,0.136931512505599,0.651304640570484,0.211763846923917,"vast",0.69,0.31
