"year","biomass","se","lci","uci","pred"
1984,25701,4166,17535.64,33866.36,13610.7
1987,81512,15140,51837.6,111186.4,17693.6
1990,13146,1582,10045.28,16246.72,20813.4
1993,42990,5320,32562.8,53417.2,24191.6
1996,49881,6979,36202.16,63559.84,31507.4
1999,33952,5063,24028.52,43875.48,38721.2
2001,49766,6838,36363.52,63168.48,40794.2
2003,61351,7832,46000.28,76701.72,44609.1
2005,125885,17020,92525.8,159244.2,49150.2
2007,76491,12646,51704.84,101277.16,53761.5
2009,46428,5959,34748.36,58107.64,55312.2
2011,45621,5944,33970.76,57271.24,55180.8
2013,80669,11565,58001.6,103336.4,53578.9
2015,58145,9371,39777.84,76512.16,53294.8
2017,48902,4967,39166.68,58637.32,55469.9
2019,89965,10543,69300.72,110629.28,58865.9
