"age","fish","srv1"
4,0.000537078,0.0346965
5,0.00179146,0.0677304
6,0.0059581,0.128043
7,0.0196251,0.228879
8,0.0626658,0.374974
9,0.182527,0.548046
10,0.427167,0.710229
11,0.713507,0.832048
12,0.892677,0.909202
13,0.965253,0.952918
14,0.989336,0.976139
15,0.996783,0.988051
16,0.999035,0.994052
17,0.999711,0.997049
18,0.999913,0.998538
19,0.999974,0.999276
20,0.999992,0.999642
21,0.999998,0.999823
22,0.999999,0.999912
23,1,0.999957
24,1,0.999979
25,1,0.999989
26,1,0.999995
27,1,0.999997
28,1,0.999999
29,1,0.999999
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
