"","obs","pred"
"1",388,656.863
"2",162,394.091
"3",224,460.592
"4",597,782.2
"5",845,943.739
"6",852,936.126
"7",1017,1034.69
"8",540,755.353
"9",34,166.127
"10",17,121.916
"11",19,137.215
"12",1067,1206.53
"13",1707,1620.42
"14",1612,1001.84
"15",2035,1107.87
"16",3443,3069.74
"17",3119,2847.6
"18",2913,2702.86
"19",2836,2671.4
"20",2275,2233.83
"21",2464,2431.85
"22",3107,3055.68
"23",4535,4384
"24",3699,3612.32
"25",2997,2946.89
"26",3301,3244.14
"27",3020,3001.52
"28",2557,2564.46
"29",2209,2248.26
"30",2437,2479.4
"31",3373,3430.15
"32",3620,3681.38
"33",3069,3111.92
"34",3132,3168.56
"35",2531,2556.12
"36",4010,3971.08
"37",3158,3186.33
"38",3062,3085.63
"39",2781,2821.97
"40",3327,3351.03
"41",2622,2634.08
"42",2913,2908.19
"43",2491,2521.73
"44",2298,2335.67
